last_name, first_name,year,p_formatted_ip,p_total_hits,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,p_earned_run,p_run,p_balk,
Burnett, A.J.,2013,191.0,165,209,67,26.1,8.4,.231,.335,.301,.104,70,79,0,
Dempster, Ryan,2013,171.1,170,157,79,20.8,10.5,.256,.435,.338,.179,87,97,1,
Pettitte, Andy,2013,185.1,198,128,48,16.3,6.1,.275,.411,.319,.136,77,85,0,
Colon, Bartolo,2013,190.1,193,117,29,15.2,3.8,.264,.369,.289,.105,56,60,0,
Volquez, Edinson,2015,200.1,190,155,72,18.2,8.5,.251,.372,.318,.121,79,89,0,
Miller, Shelby,2015,205.1,183,171,73,19.9,8.5,.238,.355,.305,.117,69,82,2,
McHugh, Collin,2015,203.2,207,171,53,19.9,6.2,.263,.390,.313,.127,88,89,0,
Kluber, Corey,2015,222.0,189,245,45,27.7,5.1,.231,.371,.277,.140,86,92,1,
Jimenez, Ubaldo,2015,184.0,182,168,68,21.2,8.6,.257,.397,.330,.140,84,89,0,
Dickey, R.A.,2015,214.1,195,126,61,14.3,6.9,.244,.405,.302,.161,93,97,2,
Gonzalez, Gio,2015,175.2,181,169,69,22.3,9.1,.269,.374,.335,.105,74,79,0,
Gibson, Kyle,2015,194.2,186,145,65,17.7,7.9,.252,.381,.314,.129,83,88,0,
Carrasco, Carlos,2015,183.2,154,216,43,29.6,5.9,.228,.369,.277,.141,74,75,0,
Buehrle, Mark,2015,198.2,214,91,33,11.0,4.0,.279,.440,.307,.161,84,100,0,
Wacha, Michael,2015,181.1,162,153,58,20.1,7.6,.236,.373,.297,.137,68,74,1,
Ventura, Yordano,2015,163.1,154,156,58,22.5,8.4,.248,.378,.319,.130,74,75,0,
Sale, Chris,2015,208.2,185,274,42,32.1,4.9,.233,.368,.281,.135,79,88,0,
Sabathia, CC,2015,167.1,188,137,50,18.9,6.9,.285,.458,.336,.173,88,92,1,
Nelson, Jimmy,2015,177.1,163,148,65,19.7,8.6,.246,.382,.320,.136,81,89,1,
Kazmir, Scott,2015,183.0,162,155,59,20.3,7.7,.237,.374,.301,.137,63,77,2,
Happ, J.A.,2015,172.0,173,151,45,21.1,6.3,.259,.391,.307,.132,69,71,0,
Greinke, Zack,2015,222.2,148,200,40,23.7,4.7,.187,.276,.229,.089,41,43,0,
DeSclafani, Anthony,2015,184.2,194,151,55,19.2,7.0,.273,.414,.324,.141,83,93,0,
Cueto, Johnny,2015,212.0,194,176,46,20.3,5.3,.242,.387,.286,.145,81,87,4,
Burnett, A.J.,2015,164.0,174,143,49,20.5,7.0,.275,.381,.335,.106,58,64,1,
Archer, Chris,2015,212.0,175,252,66,29.0,7.6,.220,.331,.281,.111,76,85,0,
Santiago, Hector,2015,180.2,156,162,71,20.9,9.1,.227,.416,.305,.189,72,80,3,
Ross, Tyson,2015,196.0,172,212,84,25.8,10.2,.237,.330,.321,.093,71,78,0,
Porcello, Rick,2015,172.0,196,149,38,20.2,5.2,.287,.455,.331,.168,94,103,1,
Pelfrey, Mike,2015,164.2,198,86,45,12.0,6.3,.304,.413,.357,.109,78,86,0,
Lewis, Colby,2015,204.2,211,142,42,16.5,4.9,.266,.430,.307,.164,106,114,0,
Leake, Mike,2015,192.0,174,119,49,15.3,6.3,.243,.393,.290,.150,79,80,2,
Lackey, John,2015,218.0,211,175,53,19.5,5.9,.256,.376,.299,.120,67,71,3,
Kershaw, Clayton,2015,232.2,163,301,42,33.8,4.7,.194,.284,.236,.090,55,62,3,
Gray, Sonny,2015,208.0,166,169,59,20.3,7.1,.217,.316,.273,.099,63,71,0,
Colon, Bartolo,2015,194.2,217,136,24,16.7,2.9,.281,.437,.301,.156,90,94,0,
Bumgarner, Madison,2015,218.1,181,234,39,26.9,4.5,.222,.349,.261,.127,71,73,0,
Bauer, Trevor,2015,176.0,152,170,79,22.8,10.6,.232,.394,.317,.162,89,90,1,
Teheran, Julio,2015,200.2,189,171,73,20.3,8.7,.253,.412,.321,.159,90,99,0,
Shields, James,2015,202.1,189,216,81,25.1,9.4,.248,.450,.324,.202,88,93,1,
